


**********Bad nodes by high occurrence of disk total bytes > threshold***************

node name,instance type,node baseline bandwidth,High disk read/write Bytes Probability
ip-10-0-103-38,r6i.xlarge,156250000,1.0
ip-10-0-108-164,r6i.xlarge,156250000,1.0
ip-10-0-112-50,r5.xlarge,143750000,1.0
ip-10-0-113-129,r6i.xlarge,156250000,1.0
ip-10-0-124-101,r6i.xlarge,156250000,1.0
ip-10-0-137-136,r5.xlarge,143750000,1.0
ip-10-0-140-169,r5.xlarge,143750000,1.0


Node name: , ip-10-0-103-38

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,cert-manager-79c5f9946-9bw9p,0.0,0.0
max rx bytes,cert-manager-79c5f9946-9bw9p,0.0,0.0


Node name: , ip-10-0-108-164



Node name: , ip-10-0-112-50



Node name: , ip-10-0-113-129

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,kube-proxy-hw86k,0.0,0.0
max rx bytes,kube-proxy-hw86k,0.0,0.0


Node name: , ip-10-0-124-101

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,lacework-agent-fxl5d,1577.5248175312106,1577.5248175312106
max rx bytes,lacework-agent-fxl5d,1577.5248175312106,1577.5248175312106


Node name: , ip-10-0-137-136

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,prometheus-node-exporter-jbprf,0.0,0.0
max rx bytes,prometheus-node-exporter-jbprf,0.0,0.0


Node name: , ip-10-0-140-169

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,lacework-agent-xlj4j,1659.460056719826,1659.460056719826
max rx bytes,lacework-agent-xlj4j,1659.460056719826,1659.460056719826



**********Bad nodes by high avg disk total bytes***************

node name,instance type,node bandwidth baselimit(bytes/sec),Avg Network Transmit rate (bytes/sec)
ip-10-0-103-38,r6i.xlarge,156250000,185817.6768327108
ip-10-0-108-164,r6i.xlarge,156250000,54235.25537340621
ip-10-0-112-50,r5.xlarge,143750000,10086.493260473588
ip-10-0-113-129,r6i.xlarge,156250000,10062.618579234973
ip-10-0-124-101,r6i.xlarge,156250000,13369.718876556044
ip-10-0-137-136,r5.xlarge,143750000,13207.035040517907
ip-10-0-140-169,r5.xlarge,143750000,14914.301031029385


Node name: , ip-10-0-103-38

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,cert-manager-79c5f9946-9bw9p,0.0,0.0
max rx bytes,cert-manager-79c5f9946-9bw9p,0.0,0.0


Node name: , ip-10-0-108-164



Node name: , ip-10-0-112-50



Node name: , ip-10-0-113-129

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,kube-proxy-hw86k,0.0,0.0
max rx bytes,kube-proxy-hw86k,0.0,0.0


Node name: , ip-10-0-124-101

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,lacework-agent-fxl5d,1577.5248175312106,1577.5248175312106
max rx bytes,lacework-agent-fxl5d,1577.5248175312106,1577.5248175312106


Node name: , ip-10-0-137-136

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,prometheus-node-exporter-jbprf,0.0,0.0
max rx bytes,prometheus-node-exporter-jbprf,0.0,0.0


Node name: , ip-10-0-140-169

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,disk total bytes,
max avg rx bytes,lacework-agent-xlj4j,1659.460056719826,1659.460056719826
max rx bytes,lacework-agent-xlj4j,1659.460056719826,1659.460056719826
