


**********Bad nodes by high occurrence of tx bytes > threshold***************

node name,instance type,node baseline bandwidth,High Network Transmit Bytes Probability
ip-10-0-103-38,r6i.xlarge,195250000.0,1.0
ip-10-0-108-164,r6i.xlarge,195250000.0,1.0
ip-10-0-112-50,r5.xlarge,156250000.0,1.0
ip-10-0-113-129,r6i.xlarge,195250000.0,1.0
ip-10-0-124-101,r6i.xlarge,195250000.0,1.0
ip-10-0-137-136,r5.xlarge,156250000.0,1.0
ip-10-0-140-169,r5.xlarge,156250000.0,1.0


Node name: , ip-10-0-103-38

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,aws-node-c82bh,2000467.7653190636,2078483.5968361823
max tx bytes,ebs-csi-node-pdxf9,2145940.999094448,2145940.999094448


Node name: , ip-10-0-108-164

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,ebs-csi-node-dj9r8,1789007.654135904,1867051.7225266558
max tx bytes,prometheus-node-exporter-h582k,1881896.4443461085,1881896.4443461085


Node name: , ip-10-0-112-50

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,kube-proxy-4pf6h,20181.774994252275,28966.740636017108
max tx bytes,lacework-agent-zlnhk,29052.298767745186,29052.298767745186


Node name: , ip-10-0-113-129

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,aws-node-xrmcd,18213.29150064466,22277.37450328104
max tx bytes,lacework-agent-94c9q,23213.165920562165,23213.165920562165


Node name: , ip-10-0-124-101

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,kube-proxy-9chzt,145727.37961015588,246834.253315683
max tx bytes,ebs-csi-node-rnqj9,248524.53214063522,248524.53214063522


Node name: , ip-10-0-137-136

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,aws-node-dpfx2,64806.785895612775,86218.70322856533
max tx bytes,aws-node-dpfx2,86218.70322856533,86218.70322856533


Node name: , ip-10-0-140-169

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,kube-proxy-mkl2h,85637.62297513822,103970.22992845238
max tx bytes,kube-proxy-mkl2h,103970.22992845238,103970.22992845238



**********Bad nodes by high avg tx bytes***************

node name,instance type,node bandwidth baselimit(bytes/sec),Avg Network Transmit rate (bytes/sec)
ip-10-0-103-38,r6i.xlarge,195250000.0,2003569.2743188355
ip-10-0-108-164,r6i.xlarge,195250000.0,1795501.881967213
ip-10-0-112-50,r5.xlarge,156250000.0,20447.990163934424
ip-10-0-113-129,r6i.xlarge,195250000.0,18622.94007285974
ip-10-0-124-101,r6i.xlarge,195250000.0,144491.59274995368
ip-10-0-137-136,r5.xlarge,156250000.0,65391.87158469945
ip-10-0-140-169,r5.xlarge,156250000.0,86194.36107914893


Node name: , ip-10-0-103-38

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,aws-node-c82bh,2000467.7653190636,2078483.5968361823
max tx bytes,ebs-csi-node-pdxf9,2145940.999094448,2145940.999094448


Node name: , ip-10-0-108-164

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,ebs-csi-node-dj9r8,1789007.654135904,1867051.7225266558
max tx bytes,prometheus-node-exporter-h582k,1881896.4443461085,1881896.4443461085


Node name: , ip-10-0-112-50

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,kube-proxy-4pf6h,20181.774994252275,28966.740636017108
max tx bytes,lacework-agent-zlnhk,29052.298767745186,29052.298767745186


Node name: , ip-10-0-113-129

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,aws-node-xrmcd,18213.29150064466,22277.37450328104
max tx bytes,lacework-agent-94c9q,23213.165920562165,23213.165920562165


Node name: , ip-10-0-124-101

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,kube-proxy-9chzt,145727.37961015588,246834.253315683
max tx bytes,ebs-csi-node-rnqj9,248524.53214063522,248524.53214063522


Node name: , ip-10-0-137-136

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,aws-node-dpfx2,64806.785895612775,86218.70322856533
max tx bytes,aws-node-dpfx2,86218.70322856533,86218.70322856533


Node name: , ip-10-0-140-169

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,tx bytes,
max avg tx bytes,kube-proxy-mkl2h,85637.62297513822,103970.22992845238
max tx bytes,kube-proxy-mkl2h,103970.22992845238,103970.22992845238
