Pod Memory Report

Namespace,Pod Name,Memory Request,Memory Limit,Avg Memory Usage,Suggested Request,90%tile Memory Usage,90%tile Memory Usage,Max Memory Usage
kube-system,aws-node-f4w8l,0,inf,471818374.295082,472320671.4847602,473018368.0,473018368.0,473018368
kube-system,ebs-csi-node-m5xf8,1610612736,inf,103797071.73770492,104133782.94794884,104366080.0,104366080.0,104366080
kube-system,kube-proxy-7sv2d,0,inf,112461186.09836066,112911397.73246805,113451008.0,113451008.0,113451008
lacework,lacework-agent-b8tgh,3040870400,inf,1699592762.7540984,1711960162.8704498,1726185472.0,1726185472.0,1726185472
spr-apps,standalone-firehose-enrichment-logo-consumer-deployment-687vkzb,63350767616,inf,41765625788.85246,41766993259.067635,41766674432.0,41767133184.0,41767133184
spr-apps,standalone-standalone-audit-deployment-5989fdf474-89r6g,39728447488,inf,24370745142.557377,24371133604.07212,24371183616.0,24371183616.0,24371183616
kube-system,aws-node-5ws24,0,inf,577507328.0,577880752.0331119,578056192.0,578056192.0,578056192
kube-system,ebs-csi-node-d7hhz,1610612736,inf,145067763.40983605,145440421.28421617,145506304.0,145535795.2,145580032
kube-system,kube-proxy-clr9x,0,inf,170911441.83606556,171411585.88865072,171753472.0,172003328.0,172003328
lacework,lacework-agent-cw7nd,3040870400,inf,1846701274.2295082,1854204041.018836,1863323648.0,1863323648.0,1863323648
spr-apps,lst-visual-video-deployment-854f557d7-2pltl,41875931136,inf,26554122240.0,26716751388.888542,26831290368.0,26908319744.0,26908319744
spr-apps,lst-visual-video-deployment-854f557d7-lc5hj,41875931136,inf,25734825547.540985,25979629088.95409,26490339328.0,26490339328.0,26490339328
spr-apps,lst-visual-video-deployment-854f557d7-tmhps,41875931136,inf,26699621359.213116,26944546179.25479,27378511872.0,27378511872.0,27378511872
kube-system,aws-node-g5zx5,0,inf,489300169.44262296,489699157.42692995,489881600.0,489975808.0,489975808
kube-system,ebs-csi-node-vvkd8,1610612736,inf,101582814.4262295,101962109.05621894,102498304.0,102498304.0,102498304
kube-system,kube-proxy-24mwl,0,inf,116753794.09836066,117177899.171565,117407744.0,117497856.0,117497856
lacework,lacework-agent-hk6fp,3040870400,inf,1712993867.5409837,1721222404.006653,1731469312.0,1731526656.0,1731526656
spr-apps,standalone-lst-ml-tier3-deployment-f5d97dc4f-vkmmb,65498251264,inf,42373458557.90164,42373689480.395996,42373718016.0,42374168576.0,42374168576
spr-apps,standalone-lst-review-dedup-processor-deployment-6777cb4b67zk25,18253611008,inf,10902691705.704918,10902738848.080162,10902740992.0,10902740992.0,10902740992
spr-apps,standalone-lst-visual-global-remote-matcher-deployment-66d7pnb8,65498251264,inf,21191856686.545456,31849482110.36592,32240218112.0,32240218112.0,32240218112
kube-system,aws-node-qpx5m,0,inf,505447742.9508197,505834246.88856304,506007552.0,506007552.0,506007552
kube-system,ebs-csi-node-tbmhk,1610612736,inf,102287527.86885247,102595356.7110428,102825984.0,103006208.0,103006208
kube-system,kube-proxy-6xqxt,0,inf,119458094.16393442,119963373.27684137,120619008.0,120619008.0,120619008
lacework,lacework-agent-zsmdx,3040870400,inf,1655082806.557377,1657780495.243314,1658699776.0,1658699776.0,1658699776
monitoring,filebeat-t47tz,3600000000,inf,2076963017.442623,2116293660.4591496,2143780864.0,2149539840.0,2149539840
spr-apps,standalone-lst-ml-tier3-deployment-f5d97dc4f-kp7hh,65498251264,inf,42410681528.65574,42411129655.731064,42411163648.0,42411180032.0,42411180032
kube-system,ebs-csi-node-h2skh,1610612736,inf,104222652.85245901,104559448.09056717,104914944.0,104914944.0,104914944
kube-system,aws-node-xc7qw,0,inf,392883082.4918033,393382597.00048023,393945088.0,393945088.0,393945088
kube-system,ebs-csi-node-jjbbn,1610612736,inf,101911233.04918033,102334677.52212219,102883328.0,102883328.0,102883328
kube-system,kube-proxy-hmt5k,0,inf,112168758.55737706,112814272.83454673,113360896.0,113360896.0,113360896
lacework,lacework-agent-gwdm2,3040870400,inf,1632649148.852459,1642384115.177318,1653915648.0,1653915648.0,1653915648
monitoring,filebeat-2kvvp,3600000000,inf,1575904373.5081968,1621790083.1958148,1625747456.0,1639211008.0,1639211008
spr-apps,lst-visual-phash-deployment-5659f46888-knftw,54760833024,inf,29804876581.770493,29804945923.31114,29804982272.0,29804982272.0,29804982272
spr-apps,standalone-lst-ml-tier2-deployment-77f9995fff-j2jbj,69793218560,inf,14451626439.11111,20707938675.136528,18948866048.0,18948866048.0,18948866048
spr-apps,standalone-lst-ml-tier2-deployment-77f9995fff-pm4zq,69793218560,inf,24132946304.0,40085616289.11449,49395523584.0,49395523584.0,49395523584
cert-manager,cert-manager-79c5f9946-9bw9p,0,inf,2825396224.0,2825396224.0,2825396224.0,2825396224.0,2825396224
default,cost-analyzer-7bbdc9cd4d-jkst7,230686720,inf,1664201442.6229508,1704115447.3859842,1727332352.0,1727332352.0,1727332352
default,cost-analyzer-prometheus-server-84566b5c77-t5cwh,0,inf,14965689830.819672,15207383865.779173,15427624960.0,15427624960.0,15427624960
kafka-prometheus,prometheus-kafka-prometheus-alertmanager-85b6f57c8-4n769,553648128,inf,31866880.0,31866880.0,31866880.0,31866880.0,31866880
kube-system,aws-node-c82bh,0,inf,402827364.72131145,403211438.79282683,403472384.0,403508428.8,403562496
kubecost,cost-analyzer-7d55b5c479-5t8mr,230686720,inf,42713088.0,42713088.0,42713088.0,42713088.0,42713088
kubernetes-dashboard,kubernetes-dashboard-67ffcd48d4-wwp6p,1468006400,inf,237163436.06557378,237175595.81597674,237187072.0,237187072.0,237187072
monitoring,filebeat-kmk95,3600000000,inf,477243559.86885244,484491954.72265196,488714240.0,488714240.0,488714240
monitoring,prometheus-node-exporter-5pvwr,125829120,inf,38575456.524590164,38644859.97954922,38731776.0,38731776.0,38731776
spr-ops,keycloak-proxy-linkerd-deployment-6579f944bf-x7d66,0,inf,31588352.0,31588352.0,31588352.0,31588352.0,31588352
cert-manager,cert-manager-cainjector-76c9d55b6f-x4s2c,0,inf,1728444.8524590165,1739473.462165648,1748992.0,1748992.0,1748992
kube-system,aws-node-g868k,0,inf,546483149.6393442,546910008.9831107,547454976.0,547454976.0,547454976
kube-system,ebs-csi-node-bsltq,1610612736,inf,144397160.9180328,145021377.57260945,145932288.0,145932288.0,145932288
kube-system,kube-proxy-p6hj7,0,inf,167717971.93442622,168484148.9234448,169431040.0,169431040.0,169431040
