Wrong Pod placement report

node_name,node instance type,namespace,pod_name,node cpu/memory,pod cpu/memory
ip-10-0-100-83,x2gd.8xlarge,lacework,lacework-agent-b8tgh,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-101-181,c6i.16xlarge,kube-system,ebs-csi-node-d7hhz,4.814420942401408e-10,3.725290298461914e-11
ip-10-0-101-181,c6i.16xlarge,lacework,lacework-agent-cw7nd,4.814420942401408e-10,6.577064251077586e-12
ip-10-0-101-181,c6i.16xlarge,monitoring,filebeat-nhhs7,4.814420942401408e-10,6.666666666666667e-11
ip-10-0-101-226,x2gd.8xlarge,lacework,lacework-agent-hk6fp,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-101-226,x2gd.8xlarge,spr-apps,lst-cross-env-services-deployment-5df99784d5-w27jc,5.987214956742726e-11,5.644379240093809e-12
ip-10-0-101-226,x2gd.8xlarge,spr-apps,standalone-standalone-lst-backfill-execution-deployment-55gd2bf,5.987214956742726e-11,1.8626451492309571e-10
ip-10-0-102-207,x2gd.8xlarge,lacework,lacework-agent-zsmdx,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-102-56,x2gd.8xlarge,lacework,lacework-agent-88nfc,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-102-56,x2gd.8xlarge,spr-apps,lst-web-facebook-engagement-stats-deployment-545b69c556-qmhwv,5.987214956742726e-11,1.13219607110117e-10
ip-10-0-102-56,x2gd.8xlarge,spr-apps,standalone-lst-product-backfill-processor-deployment-64494wt59z,5.987214956742726e-11,1.2052409789141488e-10
ip-10-0-103-26,x2gd.8xlarge,lacework,lacework-agent-gwdm2,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-103-38,r6i.xlarge,default,cost-analyzer-7bbdc9cd4d-jkst7,1.2078952081602726e-10,1.8206509676846593e-09
ip-10-0-103-38,r6i.xlarge,kafka-prometheus,prometheus-kafka-prometheus-alertmanager-85b6f57c8-4n769,1.2078952081602726e-10,7.58604569868608e-10
ip-10-0-103-38,r6i.xlarge,kubecost,cost-analyzer-7d55b5c479-5t8mr,1.2078952081602726e-10,1.8206509676846593e-09
ip-10-0-103-38,r6i.xlarge,monitoring,prometheus-node-exporter-5pvwr,1.2078952081602726e-10,1.5894571940104168e-09
ip-10-0-103-38,r6i.xlarge,kube-system,cluster-autoscaler-6c8c85ff7f-gp4xv,1.2078952081602726e-10,2.3283064365386964e-11
ip-10-0-103-38,r6i.xlarge,kube-system,coredns-549dbdbf57-7cndh,1.2078952081602726e-10,5.609848920036765e-10
ip-10-0-103-38,r6i.xlarge,lacework,lacework-agent-9kpvb,1.2078952081602726e-10,6.577064251077586e-12
ip-10-0-103-38,r6i.xlarge,linkerd-viz,metrics-api-7c958b5f76-jcssr,1.2078952081602726e-10,3.814697265625e-10
ip-10-0-108-164,r6i.xlarge,kube-system,coredns-549dbdbf57-6l2hs,1.2078952081602726e-10,5.609848920036765e-10
ip-10-0-108-164,r6i.xlarge,kube-system,metrics-server-68c56b9d8c-xz9sd,1.2078952081602726e-10,4.76837158203125e-10
ip-10-0-108-164,r6i.xlarge,lacework,lacework-agent-ft4z8,1.2078952081602726e-10,6.577064251077586e-12
ip-10-0-108-164,r6i.xlarge,monitoring,prometheus-node-exporter-h582k,1.2078952081602726e-10,1.5894571940104168e-09
ip-10-0-108-23,c6i.16xlarge,kube-system,ebs-csi-node-bsltq,4.814420942401408e-10,3.725290298461914e-11
ip-10-0-108-23,c6i.16xlarge,lacework,lacework-agent-ngm4w,4.814420942401408e-10,6.577064251077586e-12
ip-10-0-108-23,c6i.16xlarge,monitoring,filebeat-gtjjq,4.814420942401408e-10,6.666666666666667e-11
ip-10-0-108-81,c6i.16xlarge,kube-system,ebs-csi-node-p5lzw,4.814420942401408e-10,3.725290298461914e-11
ip-10-0-108-81,c6i.16xlarge,lacework,lacework-agent-w7hjn,4.814420942401408e-10,6.577064251077586e-12
ip-10-0-108-81,c6i.16xlarge,monitoring,filebeat-wlxhz,4.814420942401408e-10,6.666666666666667e-11
ip-10-0-110-190,x2gd.8xlarge,lacework,lacework-agent-w6pgb,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-110-190,x2gd.8xlarge,spr-apps,standalone-prod-alert-track-deployment-8cd875746-xk5bh,5.987214956742726e-11,7.450580596923828e-12
ip-10-0-113-129,r6i.xlarge,lacework,lacework-agent-94c9q,1.2078952081602726e-10,6.577064251077586e-12
ip-10-0-113-129,r6i.xlarge,monitoring,prometheus-node-exporter-s45bx,1.2078952081602726e-10,1.5894571940104168e-09
ip-10-0-113-87,r5.xlarge,lacework,lacework-agent-6ds75,1.2057570132229682e-10,6.577064251077586e-12
ip-10-0-118-73,r5.xlarge,lacework,lacework-agent-p2xf7,1.2057570132229682e-10,6.577064251077586e-12
ip-10-0-124-101,r6i.xlarge,lacework,lacework-agent-fxl5d,1.2078952081602726e-10,6.577064251077586e-12
ip-10-0-124-101,r6i.xlarge,monitoring,prometheus-node-exporter-bcdgt,1.2078952081602726e-10,1.5894571940104168e-09
ip-10-0-127-227,c6i.16xlarge,kube-system,ebs-csi-node-z9hhh,4.814420942401408e-10,3.725290298461914e-11
ip-10-0-127-227,c6i.16xlarge,monitoring,filebeat-k9768,4.814420942401408e-10,6.666666666666667e-11
ip-10-0-127-227,c6i.16xlarge,lacework,lacework-agent-ftskr,4.814420942401408e-10,6.577064251077586e-12
ip-10-0-128-218,r6i.xlarge,lacework,lacework-agent-tzxmt,1.2078952081602726e-10,6.577064251077586e-12
ip-10-0-128-218,r6i.xlarge,linkerd,linkerd-identity-8f6cb84fd-zqlm4,1.2078952081602726e-10,3.814697265625e-10
ip-10-0-128-218,r6i.xlarge,linkerd-viz,tap-74db5d8657-85pfw,1.2078952081602726e-10,3.178914388020834e-10
ip-10-0-129-143,r6i.xlarge,linkerd,linkerd-identity-8f6cb84fd-vq6d7,1.2078952081602726e-10,3.814697265625e-10
ip-10-0-129-143,r6i.xlarge,lacework,lacework-agent-qxdcb,1.2078952081602726e-10,6.577064251077586e-12
ip-10-0-129-143,r6i.xlarge,linkerd-viz,tap-74db5d8657-rlk9j,1.2078952081602726e-10,3.178914388020834e-10
ip-10-0-129-143,r6i.xlarge,linkerd-viz,web-64878d98b8-mc8w6,1.2078952081602726e-10,3.814697265625e-10
ip-10-0-133-196,m7g.8xlarge,kube-system,ebs-csi-node-snkdb,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-133-196,m7g.8xlarge,lacework,lacework-agent-pkfp8,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-135-59,r5.xlarge,lacework,lacework-agent-85b9h,1.2057570132229682e-10,6.577064251077586e-12
ip-10-0-136-200,r5.xlarge,lacework,lacework-agent-k2xvv,1.2057570132229682e-10,6.577064251077586e-12
ip-10-0-137-136,r5.xlarge,monitoring,prometheus-node-exporter-jbprf,1.2057570132229682e-10,1.5894571940104168e-09
ip-10-0-137-136,r5.xlarge,lacework,lacework-agent-xz8g8,1.2057570132229682e-10,6.577064251077586e-12
ip-10-0-139-231,r6i.8xlarge,lacework,lacework-agent-9mhm8,1.202925243196455e-10,6.577064251077586e-12
ip-10-0-139-231,r6i.8xlarge,monitoring,prometheus-server-0,1.202925243196455e-10,8.914087499891008e-12
ip-10-0-139-231,r6i.8xlarge,monitoring,prometheus-thanos-compactor-0,1.202925243196455e-10,1.862645149230957e-11
ip-10-0-139-231,r6i.8xlarge,monitoring,prometheus-thanos-store-gateway-0,1.202925243196455e-10,9.313225746154785e-12
ip-10-0-140-169,r5.xlarge,lacework,lacework-agent-xlj4j,1.2057570132229682e-10,6.577064251077586e-12
ip-10-0-140-169,r5.xlarge,monitoring,prometheus-node-exporter-68bz9,1.2057570132229682e-10,1.5894571940104168e-09
ip-10-0-152-69,m7g.16xlarge,kube-system,ebs-csi-node-9s4nz,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-152-69,m7g.16xlarge,lacework,lacework-agent-f2pts,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-153-104,m7g.16xlarge,kube-system,ebs-csi-node-jxgb9,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-153-104,m7g.16xlarge,lacework,lacework-agent-brk62,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-154-138,m7g.16xlarge,kube-system,ebs-csi-node-wvcmx,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-154-138,m7g.16xlarge,lacework,lacework-agent-xpb9r,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-156-171,r7g.16xlarge,lacework,lacework-agent-n4m68,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-156-208,r7g.16xlarge,lacework,lacework-agent-tvtgg,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-156-210,m7g.16xlarge,kube-system,ebs-csi-node-jmkn7,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-156-210,m7g.16xlarge,lacework,lacework-agent-rqvzt,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-157-126,m7g.16xlarge,kube-system,ebs-csi-node-lwt86,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-157-126,m7g.16xlarge,lacework,lacework-agent-z4shc,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-157-141,m7g.16xlarge,kube-system,ebs-csi-node-xsrwx,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-157-141,m7g.16xlarge,lacework,lacework-agent-zpftk,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-159-147,m7g.16xlarge,kube-system,ebs-csi-node-jjqx8,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-159-147,m7g.16xlarge,lacework,lacework-agent-x2mns,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-159-185,m7g.16xlarge,kube-system,ebs-csi-node-d85h9,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-159-185,m7g.16xlarge,lacework,lacework-agent-4wjzv,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-159-227,r7g.16xlarge,lacework,lacework-agent-b2nc6,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-159-231,r7g.16xlarge,lacework,lacework-agent-7bhqq,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-159-54,m7g.8xlarge,kube-system,ebs-csi-node-wvbt9,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-159-54,m7g.8xlarge,lacework,lacework-agent-vdgfk,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-164-5,r7g.16xlarge,lacework,lacework-agent-z9jtb,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-166-192,r7g.16xlarge,lacework,lacework-agent-759c9,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-166-39,r7g.16xlarge,lacework,lacework-agent-44vgt,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-166-46,r7g.16xlarge,lacework,lacework-agent-klqf5,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-177-192,m7g.8xlarge,kube-system,ebs-csi-node-dbhzk,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-177-192,m7g.8xlarge,lacework,lacework-agent-cppqk,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-178-163,r6i.xlarge,lacework,lacework-agent-7wrqr,1.2078952081602726e-10,6.577064251077586e-12
ip-10-0-178-163,r6i.xlarge,linkerd,linkerd-identity-8f6cb84fd-t6rx9,1.2078952081602726e-10,3.814697265625e-10
ip-10-0-178-163,r6i.xlarge,linkerd-viz,tap-74db5d8657-6cnwr,1.2078952081602726e-10,3.178914388020834e-10
ip-10-0-178-163,r6i.xlarge,linkerd-viz,tap-injector-7459dc4845-qjzsq,1.2078952081602726e-10,3.814697265625e-10
ip-10-0-179-150,m7g.8xlarge,kube-system,ebs-csi-node-7ph76,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-179-150,m7g.8xlarge,lacework,lacework-agent-k2rh4,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-180-145,r6a.8xlarge,lacework,lacework-agent-mmlzm,1.2085079765935093e-10,6.577064251077586e-12
ip-10-0-181-4,r6a.8xlarge,lacework,lacework-agent-9dwwf,1.2085079765935093e-10,6.577064251077586e-12
ip-10-0-181-4,r6a.8xlarge,spr-apps,lst-matcher-query-crud-global-deployment-677d5bcf79-5vg8s,1.2085079765935093e-10,1.693313772028143e-11
ip-10-0-185-226,m7g.8xlarge,kube-system,ebs-csi-node-2dqb4,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-185-226,m7g.8xlarge,lacework,lacework-agent-sbjzl,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-186-218,r6g.8xlarge,lacework,lacework-agent-wqqpq,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-187-112,r6g.8xlarge,lacework,lacework-agent-8qc78,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-188-208,r6g.4xlarge,lacework,lacework-agent-25pzl,1.1988688018751489e-10,6.577064251077586e-12
ip-10-0-193-181,r6g.8xlarge,lacework,lacework-agent-tbqcm,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-198-248,r6g.4xlarge,lacework,lacework-agent-rxkf2,1.1988688018751489e-10,6.577064251077586e-12
ip-10-0-199-116,r6g.8xlarge,lacework,lacework-agent-gvg47,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-199-134,r6g.8xlarge,lacework,lacework-agent-6zgnh,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-201-4,r6g.8xlarge,lacework,lacework-agent-crwwq,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-202-151,r6a.8xlarge,lacework,lacework-agent-x8vdg,1.2085079765935093e-10,6.577064251077586e-12
ip-10-0-203-123,m7g.8xlarge,kube-system,ebs-csi-node-5p67l,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-203-123,m7g.8xlarge,lacework,lacework-agent-89dxr,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-204-244,r6g.8xlarge,lacework,lacework-agent-c8tjp,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-205-240,r6g.8xlarge,lacework,lacework-agent-k4pbs,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-207-53,m7g.16xlarge,kube-system,ebs-csi-node-cnl56,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-207-53,m7g.16xlarge,lacework,lacework-agent-9jg86,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-241-160,r7g.16xlarge,lacework,lacework-agent-5gvjc,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-241-239,m7g.8xlarge,kube-system,ebs-csi-node-8fc6v,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-241-239,m7g.8xlarge,lacework,lacework-agent-xr9b4,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-246-17,r7g.16xlarge,lacework,lacework-agent-d8vwb,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-246-180,r7g.16xlarge,lacework,lacework-agent-qtrrc,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-246-201,r7g.16xlarge,lacework,lacework-agent-nw2l6,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-62-109,m7g.8xlarge,kube-system,ebs-csi-node-flmjh,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-62-109,m7g.8xlarge,lacework,lacework-agent-sfs5t,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-80-234,x2gd.8xlarge,lacework,lacework-agent-hnq69,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-82-125,r6g.8xlarge,lacework,lacework-agent-ll7cs,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-82-125,r6g.8xlarge,spr-apps,kafka-scheduler-listeningexports-deployment-d6c86567c-zsbvv,1.1982502739219297e-10,4.869290965916746e-12
ip-10-0-84-15,r6g.8xlarge,lacework,lacework-agent-5lgzm,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-85-156,r6g.8xlarge,lacework,lacework-agent-tz5fx,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-85-172,x2gd.8xlarge,lacework,lacework-agent-wwd9k,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-85-172,x2gd.8xlarge,spr-apps,lst-profile-location-deployment-5bb647b8f7-vglw2,5.987214956742726e-11,4.543036949343798e-12
ip-10-0-85-172,x2gd.8xlarge,spr-apps,lst-web-facebook-engagement-stats-deployment-545b69c556-vk9lj,5.987214956742726e-11,1.13219607110117e-10
ip-10-0-85-8,x2gd.8xlarge,lacework,lacework-agent-c2nrh,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-86-202,x2gd.8xlarge,lacework,lacework-agent-6qxmh,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-86-54,x2gd.8xlarge,lacework,lacework-agent-b4tmf,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-86-82,r6g.8xlarge,lacework,lacework-agent-gpfpk,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-88-113,x2gd.8xlarge,lacework,lacework-agent-tqctc,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-90-22,x2gd.8xlarge,lacework,lacework-agent-9qlqb,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-90-228,m7g.8xlarge,kube-system,ebs-csi-node-g6h5f,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-90-228,m7g.8xlarge,lacework,lacework-agent-7lvpk,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-91-132,x2gd.8xlarge,lacework,lacework-agent-8wd67,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-93-96,r6g.8xlarge,lacework,lacework-agent-nrdqg,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-95-26,x2gd.8xlarge,lacework,lacework-agent-9kvbg,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-95-26,x2gd.8xlarge,spr-apps,standalone-prod-alert-track-deployment-8cd875746-nfvm5,5.987214956742726e-11,7.450580596923828e-12
ip-10-0-101-42,x2gd.8xlarge,lacework,lacework-agent-jtsqj,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-110-85,x2gd.8xlarge,lacework,lacework-agent-8xhfg,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-110-85,x2gd.8xlarge,spr-apps,lst-profile-location-deployment-5bb647b8f7-9jlrl,5.987214956742726e-11,4.543036949343798e-12
ip-10-0-110-85,x2gd.8xlarge,spr-apps,standalone-lst-replay-data-share-link-deployment-58dc7bff59pc8x,5.987214956742726e-11,1.1853196404197e-10
ip-10-0-112-50,r5.xlarge,lacework,lacework-agent-zlnhk,1.2057570132229682e-10,6.577064251077586e-12
ip-10-0-112-50,r5.xlarge,monitoring,prometheus-node-exporter-8n8kw,1.2057570132229682e-10,1.5894571940104168e-09
ip-10-0-114-236,c6i.16xlarge,kube-system,ebs-csi-node-w5tpw,4.814420942401408e-10,3.725290298461914e-11
ip-10-0-114-236,c6i.16xlarge,lacework,lacework-agent-cvgvd,4.814420942401408e-10,6.577064251077586e-12
